c1e3,rnbq1rk1/pp3pp1/5n1p/2bp4/8/2NB1N2/PPP2PPP/R1BQR1K1 w - - 0 10
e1e3,rnbq1rk1/pp3pp1/5n1p/3p4/8/2NBbN2/PPP2PPP/R2QR1K1 w - - 0 11
c3e2,r1bq1rk1/pp3pp1/2n2n1p/3p4/8/2NBRN2/PPP2PPP/R2Q2K1 w - - 1 12
h2h3,r2q1rk1/pp3pp1/2n2n1p/3p4/6b1/3BRN2/PPP1NPPP/R2Q2K1 w - - 3 13
e3f3,r2q1rk1/pp3pp1/2n2n1p/3p4/8/3BRb1P/PPP1NPP1/R2Q2K1 w - - 0 14
d1d2,r2qr1k1/pp3pp1/2n2n1p/3p4/8/3B1R1P/PPP1NPP1/R2Q2K1 w - - 1 15
d2f4,r2qr1k1/pp3pp1/2n4p/3p4/4n3/3B1R1P/PPPQNPP1/R5K1 w - - 3 16
f3g3,r2qr1k1/pp3pp1/2n4p/3p2n1/5Q2/3B1R1P/PPP1NPP1/R5K1 w - - 5 17
e2d4,r2qr1k1/pp3pp1/7p/3pn1n1/5Q2/3B2RP/PPP1NPP1/R5K1 w - - 7 18
d4f5,r3r1k1/pp3pp1/1q5p/3pn1n1/3N1Q2/3B2RP/PPP2PP1/R5K1 w - - 9 19
f4d4,r3r1k1/pp3pp1/1q4np/3p1Nn1/5Q2/3B2RP/PPP2PP1/R5K1 w - - 11 20
f5d4,r3r1k1/pp3pp1/6np/3p1Nn1/3q4/3B2RP/PPP2PP1/R5K1 w - - 0 21
g1f1,r3r1k1/pp3pp1/7p/3p2n1/3N1n2/3B2RP/PPP2PP1/R5K1 w - - 1 22
a1d1,2r1r1k1/pp3pp1/7p/3p2n1/3N1n2/3B2RP/PPP2PP1/R4K2 w - - 3 23
g3f3,2r1r1k1/pp3pp1/7p/3p4/3Nnn2/3B2RP/PPP2PP1/3R1K2 w - - 5 24
f3d3,2r1r1k1/pp3pp1/7p/3p4/3Nn3/3n1R1P/PPP2PP1/3R1K2 w - - 0 25
b2b3,2r1r1k1/pp3pp1/3n3p/3p4/3N4/3R3P/PPP2PP1/3R1K2 w - - 1 26
f2f3,2r1r1k1/1p3pp1/p2n3p/3p4/3N4/1P1R3P/P1P2PP1/3R1K2 w - - 0 27
c2c3,2r3k1/1p2rpp1/p2n3p/3p4/3N4/1P1R1P1P/P1P3P1/3R1K2 w - - 1 28
d4e2,2r3k1/1pr2pp1/p2n3p/3p4/3N4/1PPR1P1P/P5P1/3R1K2 w - - 1 29
d7c6,r2qkb1r/3b1ppp/p1Nppn2/1p4B1/4PP2/2N5/PPPQ2PP/2KR1B1R b kq - 0 10
d6e5,r2qkb1r/5ppp/p1bppn2/1p2P1B1/5P2/2N5/PPPQ2PP/2KR1B1R b kq - 0 11
a8d8,r2Qkb1r/5ppp/p1b1pn2/1p2p1B1/5P2/2N5/PPP3PP/2KR1B1R b kq - 0 12
e8d8,3Rkb1r/5ppp/p1b1pn2/1p2p1B1/5P2/2N5/PPP3PP/2K2B1R b k - 0 13
h7h6,3k1b1r/5ppp/p1b1pn2/1p2P1B1/8/2N5/PPP3PP/2K2B1R b - - 0 14
g7g5,3k1b1r/5pp1/p1b1pn1p/1p2P3/7B/2N5/PPP3PP/2K2B1R b - - 1 15
f6d7,3k1b1r/5p2/p1b1pn1p/1p2P1p1/8/2N5/PPP2BPP/2K2B1R b - - 1 16
g5g4,3k1b1r/3n1p2/p1b1p2p/1p2P1p1/7P/2N5/PPP2BP1/2K2B1R b - - 0 17
f8g7,3k1b1r/3n1p2/p1b1p2p/1p2P3/6pP/8/PPP1NBP1/2K2B1R b - - 1 18
c6d5,3k3r/3n1pb1/p1b1p2p/1p2P3/3N2pP/8/PPP2BP1/2K2B1R b - - 3 19
b5a4,3k3r/3n1pb1/p3p2p/1p1bP3/P2N2pP/8/1PP2BP1/2K2B1R b - - 0 20
g7e5,3k3r/3n1pb1/B3p2p/3bP3/p2N2pP/8/1PP2BP1/2K4R b - - 0 21
d8e7,3k3r/3n1p2/B3p2p/3bb3/p2N2pP/8/1PP2BP1/2KR4 b - - 1 22
h8a8,7r/3nkp2/B3p2p/3bb3/p2N2pP/6P1/1PP2B2/2KR4 b - - 0 23
a8b8,r7/3nkp2/4p2p/1B1bb3/p2N2pP/6P1/1PP2B2/2KR4 b - - 2 24
d7c5,1r6/3nkp2/4p2p/1B1bb3/p1PN2pP/6P1/1P3B2/2KR4 b - - 0 25
d5c6,1r6/4kp2/2N1p2p/1Bnbb3/p1P3pP/6P1/1P3B2/2KR4 b - - 2 26
e7f6,1r6/4kp2/2b1p2p/1BB1b3/p1P3pP/6P1/1P6/2KR4 b - - 0 27
b8c8,1r6/5p2/2B1pk1p/2B1b3/p1P3pP/6P1/1P6/2KR4 b - - 0 28
c8c6,2r5/5p2/2B1pk1p/4b3/p1P3pP/6P1/1P3B2/2KR4 b - - 2 29
e1c1,r2qk2r/2pnppb1/p2p1np1/1p5p/3PP2P/2N1BP1R/PPPQ2P1/R3KB2 w Qkq - 1 10
c1b1,r2qk2r/3nppb1/p1pp1np1/1p5p/3PP2P/2N1BP1R/PPPQ2P1/2KR1B2 w kq - 0 11
c3e2,r3k2r/2qnppb1/p1pp1np1/1p5p/3PP2P/2N1BP1R/PPPQ2P1/1K1R1B2 w kq - 2 12
e2f4,1r2k2r/2qnppb1/p1pp1np1/1p5p/3PP2P/4BP1R/PPPQN1P1/1K1R1B2 w k - 4 13
h3h1,1r2k2r/2qnppb1/2pp1np1/pp5p/3PPN1P/4BP1R/PPPQ2P1/1K1R1B2 w k - 0 14
f1d3,1r2k2r/2qnppb1/2pp1np1/p6p/1p1PPN1P/4BP2/PPPQ2P1/1K1R1B1R w k - 0 15
f4h3,1r2k2r/2qnppb1/2pp1np1/7p/pp1PPN1P/3BBP2/PPPQ2P1/1K1R3R w k - 0 16
